time_min,water_uptake,TPV,HPV
0,0.225146199,27.32,79.25
0.5,0.227631579,26.97,81.23
1,0.233479532,26.02,64.6
1.5,0.24005848,25.4,56.98
2,0.242105263,25.39,56.49
2.5,0.245175439,25.82,56.75
3,0.248099415,26.32,58.07
3.5,0.252192982,26.75,61.05
4,0.257309942,27.07,65.25
4.5,0.260087719,27.25,70.63
5,0.265789474,27.34,75.65
5.5,0.27251462,27.34,80.81
6,0.276461988,27.26,84.87
6.5,0.283333333,27.08,87.82
7,0.286549708,26.85,90.14
7.5,0.29005848,26.62,91.7
8,0.292251462,26.38,92.49
8.5,0.295760234,26.14,92.75
9,0.300877193,25.93,92.67
9.5,0.300730994,25.79,92.51
10,0.305701754,25.67,92.04
10.5,0.305701754,25.57,91.41
11,0.306578947,25.5,90.74
11.5,0.307309942,25.43,90.04
12,0.307163743,25.36,89.53
12.5,0.310233918,25.3,89.12
13,0.312426901,25.24,88.93
13.5,0.311695906,25.18,88.71
14,0.313596491,25.12,88.55
14.5,0.312280702,25.06,88.53
15,0.314181287,25,88.53
15.5,0.313011696,24.93,88.61
16,0.315935673,24.91,88.87
16.5,0.31622807,24.92,89.11
17,0.315643275,24.95,89.17
17.5,0.317251462,24.97,89.28
18,0.315789474,24.98,89.31
18.5,0.317251462,25,89.51
19,0.318128655,25.02,89.86
19.5,0.318128655,25.03,90.06
20,0.318421053,25.03,90.03
20.5,0.319298246,25.02,90.06
21,0.319590643,25,90.12
21.5,0.320321637,25,90.23
22,0.319005848,25,90.41
22.5,0.32002924,25,90.45
23,0.321491228,25,90.33
23.5,0.321491228,24.99,90.31
24,0.322368421,24.99,90.15
24.5,0.320906433,24.99,90.11
25,0.321052632,24.98,89.95
25.5,0.323245614,24.97,90.1
26,0.32251462,24.98,90.07
26.5,0.322660819,24.99,90.01
27,0.322222222,24.99,90.02
27.5,0.321783626,24.99,90
28,0.321929825,24.99,89.87
28.5,0.322222222,24.99,89.87
29,0.322076023,24.99,89.92
29.5,0.323830409,24.99,90.02
30,0.323684211,25,90.03
30.5,0.323099415,25,89.99
31,0.325292398,25,90.05
31.5,0.325730994,25,90.03
32,0.325584795,24.99,89.96
32.5,0.324415205,24.98,89.97
33,0.323099415,24.99,89.96
33.5,0.322368421,24.99,89.91
34,0.323830409,24.99,89.97
34.5,0.323245614,25,90
35,0.325877193,25,90.08
35.5,0.323684211,25,90
36,0.327923977,25,90.12
36.5,0.326315789,25,90.09
37,0.326169591,25,90.17
37.5,0.32251462,25,90.13
38,0.326461988,25,90.15
38.5,0.326315789,24.99,90.12
39,0.32748538,24.99,90.14
39.5,0.325730994,24.99,90.01
40,0.327192982,24.99,90
40.5,0.327777778,25,90.09
41,0.326900585,25,90
41.5,0.325438596,24.99,90
42,0.327339181,24.99,90.01
42.5,0.327923977,24.99,90.09
43,0.325584795,24.99,90
43.5,0.32880117,24.99,90.06
44,0.328070175,25,90.05
44.5,0.328362573,25.01,90.07
45,0.326315789,25,90.03
45.5,0.327923977,24.99,89.9
46,0.329093567,24.98,89.78
46.5,0.328070175,24.97,89.71
47,0.329385965,24.89,87.75
47.5,0.329093567,24.82,86.52
48,0.327777778,24.8,86.09
48.5,0.327631579,24.83,85.88
49,0.327631579,24.88,85.65
49.5,0.325146199,24.94,85.67
50,0.324561404,24.99,85.75
50.5,0.326315789,25.02,85.47
51,0.324561404,25.01,84.99
51.5,0.327339181,24.98,84.72
52,0.326608187,24.98,84.6
52.5,0.323830409,24.97,84.15
53,0.323830409,24.96,83.83
53.5,0.325584795,24.96,83.43
54,0.323684211,24.96,82.89
54.5,0.323245614,24.96,82.41
55,0.322807018,24.95,81.84
55.5,0.324269006,24.94,81.1
56,0.323976608,24.92,80.45
56.5,0.321491228,24.92,79.97
57,0.321345029,24.92,79.14
57.5,0.320467836,24.92,78.45
58,0.321637427,24.92,77.65
58.5,0.319590643,24.9,76.88
59,0.320321637,24.89,75.98
59.5,0.318274854,24.9,75.31
60,0.318567251,24.92,74.81
60.5,0.318859649,24.91,73.87
61,0.315643275,24.9,73.14
61.5,0.319005848,24.91,72.42
62,0.316374269,24.92,71.75
62.5,0.313450292,24.93,71.08
63,0.317982456,24.92,70.2
63.5,0.315643275,24.9,69.5
64,0.314035088,24.9,68.83
64.5,0.315204678,24.9,68.2
65,0.310964912,24.91,67.47
65.5,0.314912281,24.91,66.81
66,0.313011696,24.92,66.14
66.5,0.313888889,24.93,65.56
67,0.312280702,24.93,64.77
67.5,0.311549708,24.93,64.16
68,0.311695906,24.93,63.67
68.5,0.311842105,24.93,63.04
69,0.311549708,24.92,62.47
69.5,0.310087719,24.93,61.75
70,0.310672515,24.92,61.04
70.5,0.309795322,24.92,60.42
71,0.309795322,24.93,59.86
71.5,0.308479532,24.92,59.11
72,0.309356725,24.92,58.39
