Date,Time,TPV,TSV,HPV,HSV
 2022-11-30,10:32:29,27.32,27.32,79.25,79.25,
 2022-11-30,10:32:59,26.97,27.24,81.23,79.60,
 2022-11-30,10:33:29,26.02,27.16,64.60,79.97,
 2022-11-30,10:33:59,25.40,27.09,56.98,80.31,
 2022-11-30,10:34:29,25.39,27.01,56.49,80.67,
 2022-11-30,10:34:59,25.82,26.93,56.75,81.03,
 2022-11-30,10:35:29,26.32,26.85,58.07,81.40,
 2022-11-30,10:35:59,26.75,26.78,61.05,81.76,
 2022-11-30,10:36:29,27.07,26.70,65.25,82.11,
 2022-11-30,10:36:59,27.25,26.62,70.63,82.46,
 2022-11-30,10:37:29,27.34,26.55,75.65,82.82,
 2022-11-30,10:37:59,27.34,26.47,80.81,83.19,
 2022-11-30,10:38:29,27.26,26.39,84.87,83.54,
 2022-11-30,10:38:59,27.08,26.31,87.82,83.91,
 2022-11-30,10:39:29,26.85,26.23,90.14,84.26,
 2022-11-30,10:39:59,26.62,26.16,91.70,84.62,
 2022-11-30,10:40:29,26.38,26.08,92.49,84.98,
 2022-11-30,10:40:59,26.14,26.00,92.75,85.34,
 2022-11-30,10:41:29,25.93,25.92,92.67,85.70,
 2022-11-30,10:41:59,25.79,25.85,92.51,86.05,
 2022-11-30,10:42:29,25.67,25.77,92.04,86.41,
 2022-11-30,10:42:59,25.57,25.69,91.41,86.77,
 2022-11-30,10:43:29,25.50,25.62,90.74,87.12,
 2022-11-30,10:43:59,25.43,25.54,90.04,87.49,
 2022-11-30,10:44:29,25.36,25.46,89.53,87.83,
 2022-11-30,10:44:59,25.30,25.38,89.12,88.20,
 2022-11-30,10:45:29,25.24,25.31,88.93,88.55,
 2022-11-30,10:45:59,25.18,25.23,88.71,88.92,
 2022-11-30,10:46:29,25.12,25.15,88.55,89.28,
 2022-11-30,10:46:59,25.06,25.07,88.53,89.64,
 2022-11-30,10:47:29,25.00,25.00,88.53,89.98,
 2022-11-30,10:47:59,24.93,25.00,88.61,90.00,
 2022-11-30,10:48:29,24.91,25.00,88.87,90.00,
 2022-11-30,10:48:59,24.92,25.00,89.11,90.00,
 2022-11-30,10:49:29,24.95,25.00,89.17,90.00,
 2022-11-30,10:49:59,24.97,25.00,89.28,90.00,
 2022-11-30,10:50:29,24.98,25.00,89.31,90.00,
 2022-11-30,10:50:59,25.00,25.00,89.51,90.00,
 2022-11-30,10:51:29,25.02,25.00,89.86,90.00,
 2022-11-30,10:51:59,25.03,25.00,90.06,90.00,
 2022-11-30,10:52:29,25.03,25.00,90.03,90.00,
 2022-11-30,10:52:59,25.02,25.00,90.06,90.00,
 2022-11-30,10:53:29,25.00,25.00,90.12,90.00,
 2022-11-30,10:53:59,25.00,25.00,90.23,90.00,
 2022-11-30,10:54:29,25.00,25.00,90.41,90.00,
 2022-11-30,10:54:59,25.00,25.00,90.45,90.00,
 2022-11-30,10:55:29,25.00,25.00,90.33,90.00,
 2022-11-30,10:55:59,24.99,25.00,90.31,90.00,
 2022-11-30,10:56:29,24.99,25.00,90.15,90.00,
 2022-11-30,10:56:59,24.99,25.00,90.11,90.00,
 2022-11-30,10:57:29,24.98,25.00,89.95,90.00,
 2022-11-30,10:57:59,24.97,25.00,90.10,90.00,
 2022-11-30,10:58:29,24.98,25.00,90.07,90.00,
 2022-11-30,10:58:59,24.99,25.00,90.01,90.00,
 2022-11-30,10:59:29,24.99,25.00,90.02,90.00,
 2022-11-30,10:59:59,24.99,25.00,90.00,90.00,
 2022-11-30,11:00:29,24.99,25.00,89.87,90.00,
 2022-11-30,11:00:59,24.99,25.00,89.87,90.00,
 2022-11-30,11:01:29,24.99,25.00,89.92,90.00,
